"";"ID";"MES_MED";"OLA";"SEXO";"EDAD";"RANGOEDAD";"REGION";"ZONA";"DISTRITO_ELECTORAL";"GSE_COD2";"P1";"P1B";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10_1";"P10_2";"P10_3";"P13_1";"P14";"P15";"P20";"P29XPARTIDARIO";"P32XMARZO";"P41";"P69";"P71";"P162";"P264";"P265X2";"P286";"P287";"P288";"P289";"P290";"P291";"P292";"P293";"P257";"P258X1";"P258X2";"P258X3";"P258X4";"P258X5";"P258X6";"P258X7";"PONDERADOR2"
"1";166;"202111";"2";"Mujer";"28";"18 a 30 años";"Metropolitana de Santiago";"RM";"Distrito electoral 13";"GSE-C2";"No estoy seguro/a";"Estancado";"Mala";"Peor que hace un año";"No sé";"Mala";"Peor que hace un año";"No sé";"Desapruebo";"No sé";"P10-Narcotráfico";"P10-Economía";"P10-Delincuencia";"Sin Posición Política";"Ninguna";"Feliz";"No";"Ni partidario, ni opositor. Independiente";"Preocupado";"Mediano riesgo";"Trabajando remotamente, haciendo teletrabajo desde mi casa";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mediana confianza";"Regular";"P286-No votará";NA;"P288-Estoy muy seguro de que NO Iré a votar";"P289-Estoy medianamente interesado";"P290-No";NA;"P292-No sabe";"P293-Nada decidido";"2";NA;"$617 mil a $1,0 millones";NA;NA;NA;NA;NA;0,41206686
"2";165;"202111";"2";"Hombre";"37";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 8";"GSE-C3";"No estoy seguro/a";"Estancado";"Buena";"Peor que hace un año";"Igual que hoy";"Regular";"Igual que hace un año";"Mejor que hoy";"Desapruebo";"Desapruebo";"P10-Delincuencia";"P10-Vivienda";"P10-Sueldos";"Sin Posición Política";"Ninguna";"Feliz";"Sí";"Partidario del gobierno";"Preocupado";"Mediano riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mediana confianza";"Regular";"P286-Nulo/Blanco";NA;"P288-Estoy muy seguro de que NO Iré a votar";"P289-Estoy nada interesado";"P290-Si";"P291-Sebastián Sichel";"P292-No sabe";"P293-Nada decidido";"4";NA;NA;NA;"$575 mil a $1,0 millones";NA;NA;NA;0,55092709
"3";167;"202111";"2";"Mujer";"27";"18 a 30 años";"Metropolitana de Santiago";"RM";"Distrito electoral 11";"GSE-C2";"No estoy seguro/a";"Estancado";"Buena";"Mejor que hace un año";"Peor que hoy";"Buena";"Mejor que hace un año";"Mucho peor que hoy";"Apruebo";"Desapruebo";"P10-Pensiones - Jubilaciones";"P10-Pobreza";"P10-Sueldos";"Centro Derecha";"Chile Vamos (UDI – RN – EVOPOLI – PRI)";"Medianamente feliz";"Sí";"Partidario del gobierno";"Preocupado";"Mediano riesgo";"Trabajando remotamente, haciendo teletrabajo desde mi casa";"Mejorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Poca confianza";"Malo";"P286-José Antonio Kast";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Muy decidido";"4";NA;NA;NA;"$1,8 millones a $3,0 millones";NA;NA;NA;0,41206686
"4";168;"202111";"2";"Hombre";"34";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 10";"GSE-C2";"La dirección correcta";"Progresando";"Regular";"Igual que hace un año";"Igual que hoy";"Regular";"Mejor que hace un año";"Mejor que hoy";"Apruebo";"Apruebo";"P10-Narcotráfico";"P10-Delincuencia";"P10-Sueldos";"Centro Derecha";"Chile Vamos (UDI – RN – EVOPOLI – PRI)";"Medianamente feliz";"Sí";"Partidario del gobierno";"Mediamente preocupado";"Mediano riesgo";"Trabajando remotamente, haciendo teletrabajo desde mi casa";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mediana confianza";"Regular";"P286-José Antonio Kast";NA;"P288-Estoy seguro de que SÍ iré a votar";"P289-Estoy interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Medianamente decidido";"3";NA;NA;"$1,5 millones a $2,4 millones";NA;NA;NA;NA;0,220370836
"5";169;"202111";"2";"Mujer";"41";"41 a 50 años";"Metropolitana de Santiago";"RM";"Distrito electoral 10";"GSE-C3";"La dirección incorrecta";"En retroceso";"Mala";"Peor que hace un año";"Peor que hoy";"Mala";"Peor que hace un año";"Igual que hoy";"No sé";"Apruebo";"P10-Narcotráfico";"P10-Delincuencia";"P10-Justicia/Sistema Judicial";"Sin Posición Política";"Ninguna";"Feliz";"Sí";"Ni partidario, ni opositor. Independiente";"Muy preocupado";"Mediano riesgo";"Trabajando remotamente, haciendo teletrabajo desde mi casa";"Empeorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Nada de confianza";"Malo";"P286-No sabe";"P287-Gabriel Boric";"P288-Estoy seguro de que SÍ iré a votar";"P289-Estoy interesado";"P290-Si";"P291-No recuerda";"P292-José Antonio Kast";"P293-Medianamente decidido";"4";NA;NA;NA;"$575 mil a $1,0 millones";NA;NA;NA;0,685071337
"6";170;"202111";"2";"Hombre";"36";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 8";"GSE-D";"La dirección incorrecta";"Estancado";"Muy mala";"Mucho peor que hace un año";"Peor que hoy";"Muy mala";"Peor que hace un año";"Mucho peor que hoy";"Desapruebo";"Desapruebo";"P10-Desigualdad / Distribución ingreso";"P10-Pobreza";"P10-Inflación - alza de precios";"Centro";"Partido de la gente";"Poco feliz";"No";"Opositor del gobierno";"Mediamente preocupado";"Alto riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Empeorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mediana confianza";"Malo";"P286-Gabriel Boric";NA;"P288-Estoy seguro de que SÍ iré a votar";"P289-Estoy medianamente interesado";"P290-Si";"P291-Franco Parisi";"P292-Gabriel Boric";"P293-Medianamente decidido";"3";NA;NA;"$269 mil a $469 mil";NA;NA;NA;NA;1,516669873
"7";171;"202111";"2";"Hombre";"32";"31 a 40 años";"Coquimbo";"NORTE";"Distrito electoral 5";"GSE-C3";"La dirección incorrecta";"Estancado";"Mala";"Peor que hace un año";"Igual que hoy";"Mala";"Peor que hace un año";"Igual que hoy";"Desapruebo";"Desapruebo";"P10-Desempleo";"P10-Corrupción";"P10-Inflación - alza de precios";"Sin Posición Política";"Ninguna";"Feliz";"No";"Ni partidario, ni opositor. Independiente";"Mediamente preocupado";"Alto riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Confianza";"Bueno";"P286-Gabriel Boric";NA;"P288-Estoy seguro de que SÍ iré a votar";"P289-Estoy medianamente interesado";"P290-Si";"P291-No recuerda";"P292-No sabe";"P293-Decidido";"2";NA;"$354 mil a $616 mil";NA;NA;NA;NA;NA;0,340890678
"8";172;"202111";"2";"Hombre";"27";"18 a 30 años";"Metropolitana de Santiago";"RM";"Distrito electoral 13";"GSE-C2";"La dirección correcta";"Estancado";"Regular";"Mejor que hace un año";"Mejor que hoy";"Regular";"Mejor que hace un año";"Mejor que hoy";"Desapruebo";"Desapruebo";"P10-Pensiones - Jubilaciones";"P10-Gestión del Gobierno";"P10-Justicia/Sistema Judicial";"Centro izquierda";"Independiente";"Medianamente feliz";"Sí";"Opositor del gobierno";"Preocupado";"Bajo riesgo";"Trabajando remotamente, haciendo teletrabajo desde mi casa";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mucha confianza";"Regular";"P286-Gabriel Boric";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-Marco Enríquez Ominami";"P292-No sabe";"P293-Muy decidido";"4";NA;NA;NA;"$1,1 millones a $1,7 millones";NA;NA;NA;0,738613513
"9";173;"202111";"2";"Mujer";"40";"31 a 40 años";"Biobío";"SUR";"Distrito electoral 20";"GSE-C3";"La dirección correcta";"Progresando";"Regular";"Igual que hace un año";"Igual que hoy";"Regular";"Igual que hace un año";"Igual que hoy";"Apruebo";"No sé";"P10-Salud";"P10-Educación";"P10-Corrupción";"Centro";"Partido de la gente";"Medianamente feliz";"Sí";"Partidario del gobierno";"Mediamente preocupado";"Mediano riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Poca confianza";"Malo";"P286-José Antonio Kast";NA;"P288-Estoy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Muy decidido";"4";NA;NA;NA;"$575 mil a $1,0 millones";NA;NA;NA;0,799481181
"10";174;"202111";"2";"Mujer";"47";"41 a 50 años";"Metropolitana de Santiago";"RM";"Distrito electoral 10";"GSE-C2";"La dirección correcta";"Estancado";"Regular";"Igual que hace un año";"Mucho mejor que hoy";"Buena";"Igual que hace un año";"Mucho mejor que hoy";"Desapruebo";"Desapruebo";"P10-Corrupción";"P10-Gestión del Gobierno";"P10-Derechos Humanos";"Izquierda";"PC ( Partido Comunista )";"Muy feliz";"Sí";"Opositor del gobierno";"Preocupado";"Bajo riesgo";"Trabajando remotamente, haciendo teletrabajo desde mi casa";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mucha confianza";"Muy bueno";"P286-Gabriel Boric";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-Gabriel Boric";"P292-Gabriel Boric";"P293-Muy decidido";"5";NA;NA;NA;NA;"$2,1 millones a $3,5 millones";NA;NA;0,371264466
"11";175;"202111";"2";"Mujer";"40";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 9";"GSE-C3";"La dirección incorrecta";"En retroceso";"Muy mala";"Peor que hace un año";"Peor que hoy";"Mala";"Igual que hace un año";"No sé";"Apruebo";"Desapruebo";"P10-Educación";"P10-Corrupción";"P10-Sueldos";"Sin Posición Política";"Ninguna";"Feliz";"Sí";"Ni partidario, ni opositor. Independiente";"Muy preocupado";"Alto riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Confianza";"Regular";"P286-Gabriel Boric";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-Gabriel Boric";"P292-Gabriel Boric";"P293-Muy decidido";"3";NA;NA;"$470 mil a $818 mil";NA;NA;NA;NA;0,439419797
