"Marca.temporal";"p1.movsocial";"p1.militarcarabinero";"p1.declaragob";"p1.manifestantes";"p1.saqueos";"p1.cosena";"p1.gabinete";"p1.antiencapuchados";"p1.antisaqueos";"p1.antibarricadas";"p1.barricadas";"p1.bailapasa";"p1.huelgaparo";"p2.marchas";"p2.cacerolazos";"p2.redessociales";"p2.cabildos";"p3.pensiones";"p3.salud";"p3.educacion";"p3.trabajo";"p3.seguridad";"p3.nuevaconstitucion";"p3.justicia";"p3.ddhh";"p3.vivienda";"p3.medioambiente";"p4.renuncia";"p4.plebiscitoconstitucion";"p4.plebiscitoreformas";"p4.acuerdogobparlamentarios";"p4.acuerdogobpartidos";"p4.asambleaconstituyente";"p5";"p6";"p7.presidencia";"p7.ministerios";"p7.diputados";"p7.senadores";"p7.pjud";"p7.tc";"p7.ffaa";"p7.carabineros";"p7.pdi";"p7.municipalidades";"p7.partidos";"p7.indh";"p7.empresariado";"p7.sindicatos";"p7.juntasvecinales";"p7.universidades";"p8.tvn";"p8.canal13";"p8.mega";"p8.chv";"p8.lared";"p8.cooperativa";"p8.biobio";"p8.adn";"p8.elmercurio";"p8.latercera";"p8.lun";"p8.lacuarta";"p8.lasegunda";"p8.eldesconcierto";"p8.elmostrador";"p9.rtc";"p9.iqqtv";"p9.laestrella";"p9.ellongino";"p9.paulina";"p9.caribe";"p9.neura";"p9.lamega";"p9.municipal";"p10.noticiastv";"p10.diarios";"p10.radios";"p10.wapp";"p10.facebook";"p10.twitter";"p10.instagram";"p10.vecinos";"p10.amigos";"edad";"sexo";"educacion";"comuna";"actividad";"ingresos"
"12/11/2019 22:33:39";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"A veces";"A veces";"Frecuentemente";"Nunca";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"6";"6";"6";"7. Alta prioridad";"7. Alta prioridad";"6";"7. Alta prioridad";"De acuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"Asamblea Constituyente";"Cuenta individual";"1. Nada de confianza";"2";"2";"2";"1. Nada de confianza";"3";"2";"2";"3";"3";"2";"4";"3";"4";"4";"3";"A veces";"A veces";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"A veces";"Frecuentemente";"A veces";"Nunca";"Nunca";"Nunca";"Frecuentemente";"A veces";"Frecuentemente";"Nunca";"Frecuentemente";"Nunca";"Nunca";"Nunca";"A veces";"4";"4";"5";"4";"5";"4";"4";"5";"5";34;"Mujer";"Universitaria completa";"Iquique";"Trabajador/a independiente";"Entre $1.500.000 y $2.999.999"
"12/11/2019 23:27:05";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"En desacuerdo";"Frecuentemente";"Siempre";"Siempre";"Nunca";"7. Alta prioridad";"7. Alta prioridad";"4";"4";"7. Alta prioridad";"1. Baja prioridad";"4";"2";"3";"6";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"No es necesaria una Nueva Constitución";"Cuenta individual";"7. Mucha confianza";"6";"3";"3";"4";"4";"7. Mucha confianza";"7. Mucha confianza";"7. Mucha confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"4";"1. Nada de confianza";"3";"1. Nada de confianza";"Siempre";"Frecuentemente";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"4";"4";"7. Mucha confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";22;"Mujer";"Universitaria completa";"Iquique";"Trabajador/a dependiente";"Entre $750.000 y $999.999"
"12/11/2019 23:30:00";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Frecuentemente";"Frecuentemente";"Siempre";"Frecuentemente";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"6";"2";"7. Alta prioridad";"5";"5";"5";"3";"En desacuerdo";"Muy de acuerdo";"De acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema mixto";"1. Nada de confianza";"2";"3";"2";"5";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"3";"6";"3";"5";"2";"4";"3";"5";"A veces";"A veces";"A veces";"A veces";"Nunca";"A veces";"A veces";"Frecuentemente";"A veces";"Frecuentemente";"Nunca";"Nunca";"A veces";"Frecuentemente";"Frecuentemente";"A veces";"A veces";"A veces";"Nunca";"Frecuentemente";"Nunca";"Nunca";"A veces";"A veces";"2";"3";"5";"4";"5";"6";"4";"3";"6";35;"Hombre";"Postgrado";"Iquique";"Trabajador/a dependiente";"Entre $500.000 y $749.999"
"12/11/2019 23:30:17";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"Siempre";"Siempre";"Siempre";"Siempre";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Cuenta individual";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"2";"1. Nada de confianza";"3";"7. Mucha confianza";"7. Mucha confianza";"A veces";"Nunca";"A veces";"A veces";"Nunca";"Siempre";"Siempre";"Siempre";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"Siempre";"Siempre";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"Frecuentemente";"Nunca";"Nunca";"1. Nada de confianza";"1. Nada de confianza";"2";"3";"4";"4";"4";"4";"6";43;"Mujer";"Postgrado";"Iquique";"Trabajador/a dependiente";"Entre $1.000.000 y $1.249.999"
"12/11/2019 23:31:47";"De acuerdo";"De acuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Nunca";"Nunca";"A veces";"Nunca";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"1. Baja prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"No es necesaria una Nueva Constitución";"Sistema mixto";"5";"5";"4";"4";"4";"4";"6";"6";"6";"6";"1. Nada de confianza";"2";"2";"1. Nada de confianza";"3";"3";"Siempre";"Siempre";"Nunca";"Nunca";"A veces";"A veces";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"6";"6";"6";"5";"5";"5";"5";"5";"5";34;"Mujer";"Postgrado";"Iquique";"Trabajador/a dependiente";"Entre $1.000.000 y $1.249.999"
"12/11/2019 23:32:18";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"Frecuentemente";"A veces";"Siempre";"A veces";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema de reparto";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"5";"1. Nada de confianza";"5";"4";"4";"4";"4";"A veces";"A veces";"A veces";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Nunca";"Nunca";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"3";"3";"3";"3";"3";32;"Hombre";"Universitaria completa";"Iquique";"Trabajador/a independiente";"Entre $1.250.000 y $1.499.999"
"12/11/2019 23:32:45";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"3";"7. Alta prioridad";"6";"7. Alta prioridad";"6";"7. Alta prioridad";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema de reparto";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"2";"2";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"2";"2";"6";"1. Nada de confianza";"6";"6";"6";"A veces";"A veces";"A veces";"A veces";"A veces";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"1. Nada de confianza";"4";"4";"4";"3";"3";"2";"3";"3";31;"Mujer";"Postgrado";"Iquique";"Trabajador/a independiente";"Entre $1.500.000 y $2.999.999"
"12/11/2019 23:33:29";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Siempre";"Siempre";"Siempre";"Siempre";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"4";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Asamblea Constituyente Popular Plurinacional";"Sistema de reparto";"1. Nada de confianza";"1. Nada de confianza";"2";"2";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"3";"2";"2";"1. Nada de confianza";"4";"7. Mucha confianza";"5";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"A veces";"Nunca";"Nunca";"A veces";"A veces";"Nunca";"A veces";"Siempre";"Frecuentemente";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"1. Nada de confianza";"2";"3";"3";"3";"2";"3";"6";"6";40;"Mujer";"Postgrado";"Iquique";"Trabajador/a dependiente";"Entre $750.000 y $999.999"
"12/11/2019 23:38:52";"Muy de acuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Frecuentemente";"Frecuentemente";"Siempre";"A veces";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"6";"7. Alta prioridad";"7. Alta prioridad";"6";"6";"6";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema mixto";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"4";"2";"4";"1. Nada de confianza";"4";"4";"4";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"Siempre";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Nunca";"A veces";"A veces";"A veces";"A veces";"A veces";"2";"2";"3";"3";"3";"3";"3";"3";"4";29;"Hombre";"Universitaria incompleta";"Pica";"Dueño de casa";"Entre $750.000 y $999.999"
"12/11/2019 23:40:33";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"4";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema mixto";"2";"2";"1. Nada de confianza";"1. Nada de confianza";"3";"3";"2";"2";"2";"2";"1. Nada de confianza";"7. Mucha confianza";"1. Nada de confianza";"4";"6";"7. Mucha confianza";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"A veces";"Siempre";"A veces";"Frecuentemente";"Nunca";"A veces";"Nunca";"Nunca";"Siempre";"Siempre";"A veces";"A veces";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Nunca";"Frecuentemente";"Nunca";"Nunca";"2";"3";"5";"5";"5";"5";"1. Nada de confianza";"6";"7. Mucha confianza";52;"Mujer";"Postgrado";"Iquique";"Trabajador/a dependiente";"Entre $1.500.000 y $2.999.999"
