"p3.pensiones";"p3.salud";"p3.educacion";"p3.trabajo";"p3.seguridad";"p3.nuevaconstitucion";"p3.justicia";"p3.ddhh";"p3.vivienda";"p3.medioambiente";"sexo"
7;7;7;6;6;6;7;7;6;7;"Mujer"
7;7;4;4;7;1;4;2;3;6;"Mujer"
7;7;7;6;2;7;5;5;5;3;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;7;1;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;7;3;7;6;7;6;7;"Mujer"
7;7;7;7;4;7;7;7;7;7;"Mujer"
7;7;7;7;6;7;7;6;6;6;"Hombre"
7;7;7;7;4;7;7;7;7;7;"Mujer"
7;7;7;6;5;7;6;7;6;7;"Hombre"
7;4;4;4;7;1;7;1;7;7;"Hombre"
7;7;7;7;6;7;7;6;6;7;"Hombre"
7;7;7;7;2;7;7;7;7;7;"Hombre"
7;7;7;6;4;7;4;7;4;7;"Mujer"
7;7;6;7;6;7;6;7;7;6;"Hombre"
7;7;7;7;5;7;5;7;5;5;"Mujer"
7;7;7;6;6;7;6;7;5;5;"Mujer"
7;7;7;5;6;5;5;4;4;6;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;7;5;7;7;7;7;7;"Mujer"
7;6;7;7;6;5;7;6;7;7;"Hombre"
7;7;7;6;6;5;7;7;5;6;"Mujer"
7;7;7;7;6;6;6;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;6;7;6;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;6;6;7;7;6;6;7;"Hombre"
7;7;6;5;4;7;7;7;5;6;"Mujer"
7;7;7;6;6;7;6;7;6;6;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;6;7;1;6;4;4;3;"Mujer"
7;7;7;7;2;7;7;7;7;7;"Mujer"
7;7;7;7;5;7;6;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;6;6;7;7;7;6;7;"Mujer"
7;7;7;7;5;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;6;5;7;6;7;7;7;"Mujer"
7;7;7;7;7;4;7;7;7;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;6;6;5;7;7;7;7;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;6;7;6;6;6;7;7;"Mujer"
7;7;7;6;6;7;6;7;6;5;"Mujer"
5;5;5;5;4;5;4;4;5;5;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;6;7;7;7;6;7;"Hombre"
7;7;7;7;5;7;7;7;7;7;"Mujer"
7;7;7;7;7;1;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;6;7;7;7;6;6;"Mujer"
7;7;7;5;6;4;4;6;7;6;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;6;6;7;6;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;5;5;6;5;7;6;"Mujer"
7;7;7;7;6;7;6;6;6;7;"Hombre"
7;7;5;6;1;7;7;7;7;7;"Mujer"
7;7;7;7;5;5;7;7;6;7;"Hombre"
7;7;7;7;7;6;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
6;6;6;6;3;6;6;6;6;6;"Mujer"
3;3;3;3;3;3;3;3;3;3;"Hombre"
7;6;7;6;5;5;5;7;5;6;"Mujer"
7;7;7;7;7;1;6;5;5;5;"Mujer"
7;7;7;5;7;5;7;1;7;7;"Hombre"
7;7;7;7;2;7;7;7;6;5;"Mujer"
7;7;7;7;7;7;7;1;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;4;7;1;4;2;3;4;"Hombre"
7;7;7;7;5;7;7;7;7;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;5;7;5;4;6;5;"Hombre"
7;7;7;7;6;7;6;7;7;6;"Mujer"
7;7;7;7;1;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;7;1;7;1;7;7;"Mujer"
7;7;7;7;6;6;6;6;6;6;"Mujer"
7;6;6;6;6;7;7;5;6;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;5;7;6;6;6;6;"Hombre"
7;7;7;6;6;7;7;7;7;7;"Mujer"
7;5;6;6;7;1;4;3;5;5;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;5;7;7;7;5;7;"Mujer"
7;7;7;7;5;7;6;7;5;6;"Hombre"
1;1;3;3;1;3;1;1;3;3;"Mujer"
5;5;5;5;5;2;7;7;7;7;"Mujer"
7;7;7;7;6;7;7;7;7;7;"Mujer"
7;7;7;6;6;7;7;7;7;7;"Hombre"
7;7;7;7;6;5;7;7;7;6;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;6;5;7;7;6;6;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;7;1;7;7;7;7;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;6;4;7;7;7;7;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;7;7;1;6;5;5;5;"Mujer"
7;7;7;6;1;7;2;7;7;6;"Hombre"
7;7;7;7;7;6;7;7;7;6;"Mujer"
7;7;7;7;5;7;7;7;7;7;"Mujer"
6;5;5;5;3;4;3;4;6;6;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;7;7;3;7;3;3;3;"Mujer"
7;7;7;7;5;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;4;7;7;7;7;7;"Hombre"
7;7;7;5;7;1;1;1;1;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;3;7;5;7;7;5;"Mujer"
7;6;5;7;5;7;7;7;7;5;"Mujer"
7;6;5;7;5;7;7;7;7;5;"Mujer"
7;7;7;7;5;7;7;6;5;5;"Mujer"
7;7;7;7;7;6;7;6;7;7;"Mujer"
3;3;3;3;2;3;2;2;2;2;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Hombre"
6;7;7;6;5;5;6;5;6;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;6;7;6;4;3;7;5;5;3;"Hombre"
7;7;7;7;4;7;7;7;7;7;"Hombre"
7;7;7;6;5;7;6;7;7;7;"Hombre"
7;7;7;6;7;5;6;5;6;5;"Mujer"
7;7;6;7;5;7;7;4;6;5;"Hombre"
7;7;7;7;6;7;6;7;7;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;6;7;7;1;6;2;6;5;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;6;1;3;2;1;4;3;2;1;"Hombre"
7;7;7;7;7;1;5;5;7;6;"Mujer"
7;7;6;7;7;1;6;5;7;2;"Hombre"
7;7;7;6;5;7;7;7;6;6;"Hombre"
7;7;7;7;6;4;7;7;7;6;"Mujer"
6;7;6;5;7;4;6;4;7;6;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;7;3;4;7;7;7;7;"Hombre"
5;2;1;3;3;1;4;5;6;7;"Mujer"
7;7;7;6;6;6;6;6;6;6;"Mujer"
7;7;7;7;5;7;7;7;7;7;"Hombre"
7;7;7;7;4;7;6;7;7;7;"Mujer"
7;7;7;6;6;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;5;4;7;7;7;6;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
1;1;1;1;1;7;1;7;7;7;"Mujer"
7;7;7;7;5;7;7;7;7;7;"Mujer"
7;7;7;6;7;1;7;7;6;6;"Hombre"
7;7;7;7;5;7;6;6;6;6;"Mujer"
7;7;7;7;7;6;7;7;7;7;"Mujer"
7;7;7;7;7;7;6;7;6;7;"Mujer"
7;7;7;7;5;6;6;7;7;7;"Mujer"
7;7;7;6;5;7;7;7;7;7;"Hombre"
7;7;7;6;6;7;6;6;7;7;"Mujer"
7;7;6;6;6;5;7;6;6;6;"Hombre"
7;7;7;7;7;4;7;7;7;7;"Hombre"
7;7;7;7;5;7;5;7;7;7;"Hombre"
7;7;7;7;7;7;7;7;5;7;"Mujer"
7;7;7;6;6;6;6;5;6;6;"Mujer"
7;7;7;6;5;7;6;6;7;6;"Mujer"
7;7;7;6;6;5;7;7;7;7;"Hombre"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;5;7;1;1;1;7;7;"Hombre"
7;7;6;6;6;6;6;6;6;5;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;5;5;3;6;6;6;7;"Hombre"
7;7;7;7;7;5;5;5;7;7;"Mujer"
7;6;6;7;6;7;7;7;7;4;"Mujer"
7;7;7;7;6;7;6;6;7;6;"Mujer"
1;1;3;3;3;1;1;2;2;2;"Mujer"
7;7;7;7;7;7;7;7;7;6;"Mujer"
7;7;7;6;5;7;5;5;5;6;"Mujer"
7;7;7;6;6;7;7;7;7;6;"Mujer"
7;7;7;7;4;6;5;7;7;7;"Mujer"
7;7;7;7;4;6;5;7;7;7;"Mujer"
2;2;2;2;4;4;4;3;2;1;"Hombre"
7;7;7;7;6;4;6;6;6;3;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;7;6;6;7;6;6;6;"Mujer"
7;7;7;7;7;5;7;7;7;7;"Mujer"
7;7;7;5;5;5;5;6;5;7;"Mujer"
7;7;7;7;2;4;4;4;7;1;"Hombre"
7;7;7;7;4;6;7;7;7;7;"Hombre"
7;7;7;7;7;1;7;7;7;7;"Hombre"
7;7;7;5;6;1;7;7;7;7;"Hombre"
7;7;7;7;7;2;7;5;7;5;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;7;7;5;6;6;7;7;6;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Hombre"
7;7;7;7;5;7;7;7;7;7;"Mujer"
7;7;7;7;7;7;7;7;7;7;"Mujer"
7;7;6;6;6;7;5;7;5;5;"Hombre"
7;7;7;6;7;4;7;1;6;6;"Hombre"
7;7;7;7;7;2;7;3;7;7;"Mujer"
7;7;7;7;5;7;6;7;7;7;"Mujer"
